ID,Product Name,Price
71,SAMANDAĞ KOOP. AYVA REÇELİ 430 GR,"185,00 TL"
72,POLATLI ZİRAAT ODASI KÖFTELİK KISIRLIK BULGUR 2000 GR,"64,00 TL"
73,YAŞAMYOLU ELMA SİRKESİ 750 ML CAM,"154,00 TL"
74,DENİZLİ KOOP. BİBER KURUSU 100 GR,"152,00 TL"
75,TARİŞ KOOP. ÜZÜM SİRKESİ 1000 ML,"61,00 TL"
76,TARİŞ KOOP. TAHİN 480 GR,"114,50 TL"
77,TARİŞ KOOP. SADE TAHİN HELVASI 200 GR,"53,25 TL"
78,TARİŞ KOOP.  KAKAOLU TAHİN HELVASI 200 GR,"56,00 TL"
79,TARİŞ KOOP. NAR EKŞİSİ CAM ŞİŞE 250 ML,"165,00 TL"
80,TARİŞ KOOP. KUŞ LOKUMU 150 GR,"51,50 TL"
81,TARİŞ KOOP. HURMA EZMELİ FINDIKLI ENERJİ BAR 30 GR,"44,50 TL"
82,TARİŞ KOOP. ELMA SİRKESİ 1000 ML,"46,00 TL"
83,TARİŞ KOOP. CEVİZLİ SUCUK 80 GR,"27,50 TL"
84,TARİŞ KOOP. BİSKÜVİ ARASI HELVA 35 GR,"19,90 TL"
85,TARİŞ KOOP. BEYAZ SİRKE 1000 ML,"27,50 TL"
86,TARİŞ KOOP. BALSAMİK SİRKE 250 ML,"192,00 TL"
87,TARİŞ KOOP. ANTEP FISTIKLI ENERJİ BAR 30 GR,"64,75 TL"
88,TARİŞ KOOP. BADEMLİ KROKAB 40 GR,"35,00 TL"
89,ZİNDE KOOP. GLUTENSİZ KEÇİBOYNUZLU - PORTAKALLI ÇİKOLATA 300 GR,"169,00 TL"
90,ZİNDE KOOP. GLUTENSİZ DENİZ TUZLU FISTIK EZMESİ 300 GR,"119,00 TL"
91,FİSKOBİRLİK DEMLİK POŞET ÇAY 100'LÜ,"107,90 TL"
92,JUMBO TOST EKMEĞİ 730 GR,"72,00 TL"
93,YEŞİLAĞAÇ KOOP. (BARDAKTA) ÇİKOLATALI BEYPAZARI KURUSU  100 GR,"44,50 TL"
94,YEŞİLAĞAÇ KOOP. (BARDAKTA) ÇÖREKOTLU BEYPAZARI KURUSU  100 GR,"44,50 TL"
95,YEŞİLAĞAÇ KOOP. (BARDAKTA) TEREYAĞLI BEYPAZARI KURUSU  100 GR,"38,00 TL"
96,FİSKOBİRLİK SÜTLÜ FINDIK KREMA 400 GR,"69,90 TL"
97,FİSKOBİRLİK VAKUMLU FINDIK 250 GR,"382,00 TL"
98,EGE KADIN KOOP. GOJİ BERRY REÇEL %95 MEYVE 290 GR,"169,90 TL"
99,EGE KADIN KOOP. ARONYA REÇELİ %95 MEYVE 290 GR,"169,90 TL"
100,YEŞİLAĞAÇ EKŞİ MAYALI KÖY SOMUNU 400 GR,"45,00 TL"
101,KUTLUDÜĞÜN EKŞİ MAYALI EKMEK 800 GR,"79,50 TL"
102,GLÜTENSİZ FISTIKLI BAKLAVA 300 GR,"250,00 TL"
103,ZİNDE KOOP. GLUTENSİZ KEÇİBOYNUZU UNU 250 GR,"93,00 TL"
104,GLUTENSİZ KARABUĞDAY EKMEĞİ 500 GR,"119,50 TL"
105,ALTINKADIN KOOP. YÜZÜK MAKARNA 500 GR,"26,75 TL"
106,ALTINKADIN KOOP. FİYONK MAKARNA 500 GR,"26,75 TL"
107,ALTINKADIN KOOP. ÇUBUK MAKARNA 500 GR,"26,75 TL"
108,YEŞİLAĞAÇ KOOP. KUŞBURNU MARMELATI 430 GR,"149,00 TL"
109,BOĞAZLIYAN KOOP. YEŞİL MERCİMEK 1000 GR,"84,75 TL"
110,POLATLI ZİRAAT ODASI NOHUT 2000 GR,"107,00 TL"
111,TİREBOLU FINDIK KURUSU 150 GR,"202,00 TL"
112,ZİNDE KOOP. ZERO ŞEKERSİZ KEÇİBOYNUZLU FINDIK KREMA 300 GR,"148,00 TL"
113,ZİNDE KOOP. YABANİ ELMA SİRKESİ 500 ML,"89,00 TL"
114,ZİNDE KOOP. YABANİ ALIÇ SİRKESİ 500 ML,"89,00 TL"
115,ZİNDE KOOP. VİŞNE SUYU 250 ML,"46,25 TL"
116,ZİNDE KOOP. ÜZÜM SİRKESİ 500 ML,"89,00 TL"
117,ZİNDE KOOP. TOZ ZERDEÇAL 100 GR,"47,00 TL"
118,ZİNDE KOOP. TOZ ZENCEFİL 100 GR,"66,00 TL"
119,ZİNDE KOOP. TANE ZERDEÇAL 100 GR,"46,50 TL"
120,ZİNDE KOOP. TANE ZENCEFİL 100 GR,"66,00 TL"
121,ZİNDE KOOP. ŞEFTALİ SUYU 250 ML,"43,00 TL"
