name,price,url,scraped_at
Damak Kimyon 75gr,66.9,https://www.ideal.com.tr/urun/damak-kimyon-75gr/55675 ,2026-02-20T13:44:46.934339
Damak Hindistan Cevizi 50gr,53.9,https://www.ideal.com.tr/urun/damak-hindistan-cevizi-50gr/55674 ,2026-02-20T13:44:46.934371
Damak Kekik 20gr,49.9,https://www.ideal.com.tr/urun/damak-kekik-20gr/55673 ,2026-02-20T13:44:46.934403
Damak Nane 30gr,29.9,https://www.ideal.com.tr/urun/damak-nane-30gr/55672 ,2026-02-20T13:44:46.934436
Damak Mavi Haşhaş 80gr,58.9,https://www.ideal.com.tr/urun/damak-mavi-hashas-80gr/55671 ,2026-02-20T13:44:46.934468
Damak Limon Tuzu 275gr Kilitli Eko Poşet,95.9,https://www.ideal.com.tr/urun/damak-limon-tuzu-275gr-kilitli-eko-poset/55660 ,2026-02-20T13:44:46.934500
Damak Hindistan Cevizi 160gr Eko Boy,144.9,https://www.ideal.com.tr/urun/damak-hindistan-cevizi-160gr-eko-boy/55659 ,2026-02-20T13:44:46.934533
Damak Pul Biber Eko Boy 210gr,147.9,https://www.ideal.com.tr/urun/damak-pul-biber-eko-boy-210gr/55657 ,2026-02-20T13:44:46.934569
Bağcı Siyah Zeytin Prima Jumbo Iri 180-210 Klb,550.0,https://www.ideal.com.tr/urun/bagci-siyah-zeytin-prima-jumbo-iri-180-210-klb/55980 ,2026-02-20T13:44:49.290573
Yeşil Zeytin Biberli Kg,350.0,https://www.ideal.com.tr/urun/yesil-zeytin-biberli-kg/923 ,2026-02-20T13:44:49.290636
Yeşil Zeytin Çizik Kg,249.9,https://www.ideal.com.tr/urun/yesil-zeytin-cizik-kg/918 ,2026-02-20T13:44:49.290693
Siyah Zeytin Mega Boy 230-260klb,449.9,https://www.ideal.com.tr/urun/siyah-zeytin-mega-boy-230-260klb/885 ,2026-02-20T13:44:49.290739
Bağcı Siyah Zeytin Kuru Sele Kg,435.0,https://www.ideal.com.tr/urun/bagci-siyah-zeytin-kuru-sele-kg/884 ,2026-02-20T13:44:49.290785
Siyah Zeytin Süper Jumbo Boy 200-230 Klb Kg,499.9,https://www.ideal.com.tr/urun/siyah-zeytin-super-jumbo-boy-200-230-klb-kg/881 ,2026-02-20T13:44:49.290828
Siyah Zeytin Özel Iri 290-320 Klb Kg,199.9,https://www.ideal.com.tr/urun/siyah-zeytin-ozel-iri-290-320-klb-kg/879 ,2026-02-20T13:44:49.290872
Zeytin Y.ızgara Çeşnili Kg,450.0,https://www.ideal.com.tr/urun/zeytin-yizgara-cesnili-kg/60509 ,2026-02-20T13:44:49.290918
M.birlik Kuru Sele 400gr Xs-zeytin 321-350,165.0,https://www.ideal.com.tr/urun/mbirlik-kuru-sele-400gr-xs-zeytin-321-350/59753 ,2026-02-20T13:44:49.290961
Yeşil Hatay Kırması Özel Zeytin Kg,399.9,https://www.ideal.com.tr/urun/yesil-hatay-kirmasi-ozel-zeytin-kg/58614 ,2026-02-20T13:44:49.291005
Marmarabirlik Kuru Sele 400gr 3xs-zeytin 381-410,149.95,https://www.ideal.com.tr/urun/marmarabirlik-kuru-sele-400gr-3xs-zeytin-381-410/53172 ,2026-02-20T13:44:49.291049
M.birlik Zeytin Ezmesi 175 Gr Cam,59.9,https://www.ideal.com.tr/urun/mbirlik-zeytin-ezmesi-175-gr-cam/22120 ,2026-02-20T13:44:49.291093
M.birlik Zeytin Ezmesi 340 Gr Cam,99.9,https://www.ideal.com.tr/urun/mbirlik-zeytin-ezmesi-340-gr-cam/932 ,2026-02-20T13:44:49.291136
M.birlik Süper 500gr M-zeytin 261-290,129.9,https://www.ideal.com.tr/urun/mbirlik-super-500gr-m-zeytin-261-290/893 ,2026-02-20T13:44:49.291179
M.birlik Hususi Az Tuzlu 800gr S-zeytin,249.9,https://www.ideal.com.tr/urun/mbirlik-hususi-az-tuzlu-800gr-s-zeytin/890 ,2026-02-20T13:44:49.291222
M.birlik Hususi Az Tuzlu 400gr S-291-320,132.9,https://www.ideal.com.tr/urun/mbirlik-hususi-az-tuzlu-400gr-s-291-320/889 ,2026-02-20T13:44:49.291265
M.birlik Zeytin 500gr Elit Vkm.351-380-2xs,79.95,https://www.ideal.com.tr/urun/mbirlik-zeytin-500gr-elit-vkm351-380-2xs/887 ,2026-02-20T13:44:49.291308
