product_name,price (TL)
Erüst Atıştırmalık Mini Yeşillik,94.9
Erüst Mini Kabak 250 gr,189.9
Erüst Mini Ispanak 150 g Adet,159.9
Erüst Salkım Kokteyl 300 g,94.9
Banvit Bonfile Göğüs Kg,189.9
Banvit Piliç Schnitzel 300 Gr,83.9
Lezita Derili Tabaklı But Pirzola Kg,129.9
Lezita Tabaklı Fileto Kg,179.9
Lezita Taze Poşetli Bütün Piliç Kg,95.0
Lezita Tabaklı But Izgara Derisiz Kg,179.9
Banvit Piliç Baget Kg,140.8
Lezita Tabaklı Baget Kg,105.9
Banvit İftarlık İri Piliç Kg,98.9
Banvit Piliç Pirzola Kg,161.0
Lezita Tabaklı Kalçalı But Kg,89.9
Lezita Tabaklı Izgara Üst Kanat Kg,199.9
Erpiliç Poşetli Bütün Piliç,95.0
Lezita Tabaklı Bonfile Kg,189.9
Lezita Tabaklı Kök Kanat,129.9
Erpiliç Tabaklı Bonfile Kg,189.9
Banvit Tabaklı Ciğer Kg,69.9
Banvit Tabaklı Piliç Izgara Kanat Kg,271.05
Lezita Izgara Dilimli Piliç Fileto 120 G,47.9
Lezita Nugget 300 Gr,69.9
Lezita Piliç Nugget 700 Gr,99.9
Lezita Piliç Yaprak Döner 200 Gr,91.9
Lezita Kasap Köfte 300 Gr,69.9
Banvit Piliç Schnitzel 700 Gr,156.9
Beypiliç Tabaklı Bonfile,189.9
Beypiliç Donuk Pekin Ördeği Bütün Kg,334.9
Erpiliç Tabaklı Sarma,153.9
Erpiliç Tabaklı Baget Kg,145.9
Lezita Farmelia Poşetli Piliç Kg,132.9
Beypiliç Tabaklı Pirzola,169.9
Lezita Çıtır Kova Piliç Parçaları Donuk 850 G,249.9
Lezita Schnitzel 270 G,64.9
Lezita Dondurulmuş Çıtır Piliç Lokmaları 700 Gr,231.9
Lezita Piliç Schnitzel 700 Gr,99.9
Banvit Piliç Nuget 300 Gr,83.9
Gedik Tabaklı Kök Kanat,199.9
Erpiliç Tabaklı But Izgara Kg,263.9
Erpiliç Kalçalı But Kg,112.9
Erpiliç Derili But Pirzola Tabak,184.9
Banvit Tabaklı Katı Kg,100.5
Beypiliç Piliç Fileto Kg,189.9
Banvit Piliç Yaprak Döner 500 g,276.9
Beypiliç Tabaklı Soslu Izgara But Kg,263.9
Bolca Hindi Göğüs Çöp Şiş kg,515.9
Lezita Çıtır Kıtır Piliç Fileto 270 G,95.9
Banvit Piliç Acılı Kebap 400 Gr,103.9
Beypiliç Tabaklı Soslu Piliç Izgara Kanat Kg,301.9
Lezita Mangallık But Pirzola Derili,119.9
Yeşilküre Organik Tavuk Göğüs Kg,999.5
Yeşilküre Organik Tavuk Kanat Kg,649.9
Yeşilküre Organik Tavuk But Kg,749.9
Gedik Tabaklı Bonfile,189.9
Gedik Tabaklı Baget,167.9
Gedik Poşetli Bütün Piliç,95.0
Beypiliç Tabaklı Soslu Piliç Izgara But,199.9
Bolca Hindi Döner 300 g,137.9
Bolca Hindi Osso Bucco kg,290.9
Bolca Hindi Baget Kg,264.9
Erpiliç Tabaklı Kırlangıç Piliç Bonfile kg,246.9
Bupiliç Tabak But Pirzola kg,154.9
Beypiliç Tabaklı Taşlık,102.9
Gedik Tabaklı Izgara Tava,300.9
Gedik Tabaklı Izgara Kanat Kg,296.9
Banvit Piliç Nuget 700 Gr,156.9
Yeşilküre Organik But Pirzola Kg,979.5
Yeşilküre Organik Baget Kg,989.5
Erpiliç Schitzel 800 gr,136.9
Erpiliç Taze Nugget 700 g,136.9
Beypiliç Tabaklı Kanat Izgara,277.9
Beypiliç Tabaklı Biftek Izgara,239.9
Beypiliç Tabaklı But,114.9
Beypiliç Tabaklı Ciğer,66.9
Beypiliç Tabaklı Baget,142.9
Beypiliç Poşetli Bütün Piliç Kg,95.0
Banvit Soslu Piliç Pirzola Kg,177.0
Banvit Soslu Piliç Kök Kanat Kg,298.15
Erpiliç Döner 250 g,129.9
Yılbaşı Piliç (Roaster) Kg,139.9
Lezita Dondurulmuş Jumbo Piliç Fileto 700 Gr,253.9
Gedik Tabaklı Kelebek,172.9
Gedik Tabaklı Ciğer,80.9
Lezita Cordonbleu 300 Gr,83.9
Erpiliç Tabaklı Taşlık,101.9
Erpiliç Tabaklı Ciğer Yürek,101.9
Erpiliç Tabaklı Üst Kanat,167.9
Gazivet 4 Lü Genç Bıldırcın Eti Şoklu,390.0
Banvit Piliç Çıtır Pane 275 g,83.75
Gedik Tabaklı But,132.9
Gedik Tabaklı But Pirzola Kg,209.9
Erpiliç Tabaklı Kanat Izgara,273.9
Dana Kıyma (%14-%20 Yağ) Kg,729.9
Dana Kuşbaşı Kg,789.9
Dana But Biftek Kg,899.9
Dana Sote Kg,899.9
Dana Döş Sarma Kg,759.9
Dana Kıyma (%5-%7 Yağ) Kg,943.9
Dana Tas Kebabı Kg,899.9
Kuzu Gerdan Kg,659.9
Dana Kıyma ( %7 - %14 Yağ ) Kg,910.9
Kasap Köfte Kg,769.9
Kuzu Kol Kemiksiz Kg,962.9
Kuzu Kuşbaşı Kg,1049.9
Kuzu İncik Kg,981.9
Kuzu Pirzola Kg,1699.9
Dana Antrikot Kg,1599.9
Kuzu Külbastı Kg,1149.9
Dana Strogonof Kg,959.9
Kuzu But Kemiksiz Kg,1037.9
Dana Bonfile Kg,2299.9
Gurvita İlikli Kemik Suyu Sade 4X50 ml,159.95
Kuzu Kaburga Kg,763.9
Kuzu Biftek Kg,1149.9
Kuzu Kapama Kg,977.9
Urfa Kebap Kg,879.9
Gurvita Tavuk Suyu Sade 4X50 ml,159.95
Gurvita Kuzu İlikli Kemik Suyu 320 Ml,229.95
Dana Sac Kavurma Kg,875.9
Kuzu Sote Kg,1049.9
Kuzu Kol Fırın Kg,902.9
Gurvita Premium Tavuk Etli Çorba 370 ml,299.95
Gurvita Premium Paça Çorbası 370 ml,379.95
Gurvita İlikli Kemik Suyu Ezogelin Çorba 370 ml,249.95
Dana Kontrafile Kg,1199.9
Kuzu Şişlik Et Kg,1149.9
Kuzu Çöp Şiş Kg,1149.9
Gurvita Baby Kuzu İlikli Kemik Sulu Brokoli 4x50 gr,199.95
Gurvita Tavuk Suyu Sebzeli 320 ml,229.95
Gurvita İlk Yağı 4x50 gr,199.95
Gurvita Tavuk Suyu Sade 320 ml,229.95
Dana Şişlik Et Kg,959.9
Dana Nuar - Rosto Kg,959.9
Acılı Kebap Kg,879.9
Gurvita İlikli Kemik Suyu Kuzu 4X50 ml,159.95
Kuzu Kol Kemikli Kg,858.9
Kuzu But Kemikli Kg,938.9
Etse Et Kaburga Etinden Kıyma Döner 250 g,199.9
Pişmiş Dana İşkembe 200 g,159.9
Pişmiş Dana Dil 200 g,299.95
Gurvita İlikli Kemik Suyu Sade 320 ml,229.95
Gurvita Baby Kuzu İlikli Kemik Sulu Balkabağı 4x50 gr,199.95
Gurvita Premium Kelle Paça Çorbası 370 ml,459.95
Gurvita İlikli Kemik Suyuna Mercimek Çorba 370 ml,249.95
Gurvita İlikli Kemik Suyu Sebzeli 320 ml,229.95
Gurvita Tavuk Yağı 4x50 gr,199.95
