id,sku,name,brand,category,regular_price,shown_price,discount_rate,unit,status,image_url,product_url
20000010409200,10409200,Frico Tam Yağlı Taze Kimyonlu Gouda Peyniri 150 G,Frico,Yabancı Yöresel Peynir,389.9,389.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/frico-tam-yagli-taze-kimyonlu-gouda-peyniri-150-g-p-9ed4f0
20000010403972,10403972,Zanetti Formaggio Toz Grana Padano 80 G,Zanetti,Yabancı Yöresel Peynir,169.95,169.95,0,PIECE,IN_SALE,,https://www.migros.com.tr/zanetti-formaggio-toz-grana-padano-80-g-p-9ec084
20000010401646,10401646,Trakya Çiftliği Yarım Yağlı Taze Eritme Parmesan Peyniri 200G,Trakya Çiftliği,Yabancı Yöresel Peynir,239.9,239.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/trakya-ciftligi-yarim-yagli-taze-eritme-parmesan-peyniri-200g-p-9eb76e
20000010104408,10104408,Sek Kaşar Peyniri 200 G,Sek,Taze Kaşar,144.95,144.95,0,PIECE,IN_SALE,,https://www.migros.com.tr/sek-kasar-peyniri-200-g-p-9a2e58
20000010019237,10019237,Tahsildaroğlu Ezine Peyniri 500 G (%45 Koyun %40 Keçi %15 İnek),Tahsildaroğlu,Koyun Peyniri,499.9,419.9,16,PIECE,IN_SALE,,https://www.migros.com.tr/tahsildaroglu-ezine-peyniri-500-g-45-koyun-40-keci-15-inek-p-98e1a5
20000010108907,10108907,Ariste Dilimli Trakya Eski Kaşar 200 G,Ariste,Eski Kaşar,429.9,429.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/ariste-dilimli-trakya-eski-kasar-200-g-p-9a3feb
20000010409132,10409132,Ariste Peynir Tabağı 450 G,Ariste,Yerli Yöresel Peynir,729.9,729.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/ariste-peynir-tabagi-450-g-p-9ed4ac
20000010201003,10201003,Taciroğlu Tulum Peyniri 250 G,Taciroğlu,Tulum Peyniri,384.9,384.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/taciroglu-tulum-peyniri-250-g-p-9ba7ab
20000010019265,10019265,Migros Keçi Koyun İnek Peyniri 600 G,Migros,Keçi Peyniri,319.95,319.95,0,PIECE,IN_SALE,,https://www.migros.com.tr/migros-keci-koyun-inek-peyniri-600-g-p-98e1c1
20000010019090,10019090,P.E. 810 Klasik İnek Beyaz Peyniri Kg,P.E. 810,İnek Peyniri,525.0,525.0,0,GRAM,IN_SALE,,https://www.migros.com.tr/pe-810-klasik-inek-beyaz-peyniri-kg-p-98e112
20000010101901,10101901,Taciroğlu Tam Yağlı Olgunlaştırılmış Eski Kaşar Peynir 250 G,Taciroğlu,Eski Kaşar,429.9,429.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/taciroglu-tam-yagli-olgunlastirilmis-eski-kasar-peynir-250-g-p-9a248d
20000010101984,10101984,Hasmandıra Eski Kaşar Kg,Hasmandıra,Eski Kaşar,969.9,969.9,0,GRAM,IN_SALE,,https://www.migros.com.tr/hasmandira-eski-kasar-kg-p-9a24e0
20000010302105,10302105,Bahçıvan Tam Yağlı  Krem Peynir 300 G,Bahçıvan,Krem Peynir,129.9,129.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/bahcivan-tam-yagli-krem-peynir-300-g-p-9d3299
20000010300067,10300067,Pınar Labne Laktozsuz 180 G,Pınar,Krem Peynir,83.9,83.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/pinar-labne-laktozsuz-180-g-p-9d2aa3
20000010403378,10403378,Kerrygold Cheddar 150 G,Kerrygold,Yabancı Yöresel Peynir,293.5,293.5,0,PIECE,IN_SALE,,https://www.migros.com.tr/kerrygold-cheddar-150-g-p-9ebe32
20000010200031,10200031,Ariste Tam Yağlı Olgunlaştırılmış Çörekotlu Tulum Peyniri 250 G,Ariste,Tulum Peyniri,399.9,399.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/ariste-tam-yagli-olgunlastirilmis-corekotlu-tulum-peyniri-250-g-p-9ba3df
20000010010168,10010168,Köseli Tam Yağlı Olgunlaştırılmış Beyaz Peynir Kg,Köseli,İnek Peyniri,399.0,399.0,0,GRAM,IN_SALE,,https://www.migros.com.tr/koseli-tam-yagli-olgunlastirilmis-beyaz-peynir-kg-p-98be38
20000010019151,10019151,Sek Tam Yağlı Beyaz Peynir 800 G,Sek,Süzme Peynir,299.9,299.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/sek-tam-yagli-beyaz-peynir-800-g-p-98e14f
20000010402795,10402795,Trakya Çiftliği Keçi Peyniri 1000 G,G.C. Gıda,Yabancı Yöresel Peynir,948.9,948.9,0,GRAM,IN_SALE,,https://www.migros.com.tr/trakya-ciftligi-keci-peyniri-1000-g-p-9ebbeb
20000010402934,10402934,Trakya Çiftliği Sade Gouda Yarım Yağlı Taze Peynir Kg,G.C. Gıda,Yabancı Yöresel Peynir,994.9,994.9,0,GRAM,IN_SALE,,https://www.migros.com.tr/trakya-ciftligi-sade-gouda-yarim-yagli-taze-peynir-kg-p-9ebc76
20000010402320,10402320,Trakya Çiftliği Sade Füme Yarım Yağlı Taze Peyniri Kg,G.C. Gıda,Yabancı Yöresel Peynir,995.0,995.0,0,GRAM,IN_SALE,,https://www.migros.com.tr/trakya-ciftligi-sade-fume-yarim-yagli-taze-peyniri-kg-p-9eba10
20000010010811,10010811,Zuhma Olgunlaştırılmış Tam Yağlı Tulum Peyniri Kg,Zuhma,Tulum Peyniri,844.9,844.9,0,GRAM,IN_SALE,,https://www.migros.com.tr/zuhma-olgunlastirilmis-tam-yagli-tulum-peyniri-kg-p-98c0bb
20000010100100,10100100,Bergen Anadolu Eski Kaşar Peyniri Kg,Bergen,Eski Kaşar,612.9,612.9,0,GRAM,IN_SALE,,https://www.migros.com.tr/bergen-anadolu-eski-kasar-peyniri-kg-p-9a1d84
20000010017125,10017125,Tahsildaroğlu Peynir Kg (%45 Koyun %40 Keçi %15 İnek),Tahsildaroğlu,Koyun Peyniri,739.9,739.9,0,GRAM,IN_SALE,,https://www.migros.com.tr/tahsildaroglu-peynir-kg-45-koyun-40-keci-15-inek-p-98d965
20000010019206,10019206,Gökçebayır Ezine İnek Peyniri Kg,Gökçebayır,İnek Peyniri,599.9,599.9,0,GRAM,IN_SALE,,https://www.migros.com.tr/gokcebayir-ezine-inek-peyniri-kg-p-98e186
20000010402893,10402893,Akpınar Tam Yağlı Taze Otlu Peynir Kg,Akpınar,Yerli Yöresel Peynir,699.9,699.9,0,GRAM,IN_SALE,,https://www.migros.com.tr/akpinar-tam-yagli-taze-otlu-peynir-kg-p-9ebc4d
20000010100097,10100097,Yörsan Tam Yağlı Kaşar Peyniri 400 G,Yörsan,Taze Kaşar,289.0,289.0,0,PIECE,IN_SALE,,https://www.migros.com.tr/yorsan-tam-yagli-kasar-peyniri-400-g-p-9a1d81
20000010406705,10406705,Trakya Çiftliği Pesto Soslu Yarım Yağlı Taze Peynir 200G,G.C. Gıda,Yabancı Yöresel Peynir,287.9,287.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/trakya-ciftligi-pesto-soslu-yarim-yagli-taze-peynir-200g-p-9ecb31
20000010406070,10406070,Cebir Sade Sürk Peyniri 235 G,Cebir,Yerli Yöresel Peynir,104.9,104.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/cebir-sade-surk-peyniri-235-g-p-9ec8b6
